Term	Language ID	Definition	External cross reference (definition)	Note (definition)	Note (Term)	Part of speech	Grammatical gender	Grammatical number	Pronunciation	Etymology	Orthographic variant	Acronym	Full form	Abbreviation	Derivative	Collocation	Synonym	Quasi synonym	Hypernym	Hyponym	Context	External cross reference (context)	Register	Common name	Scientific name	Domain	Subdomain	Sub-subdomain
égouttage	fr	Opération facultative dans la vinification en blanc, consistant à laisser s'égoutter les raisins foulés avant leur pressurage. Il a pour but de séparer, sans aucune ou avec une faible pression, le jus des matières solides pour diminuer le volume à pressurer. Cela donne le moût de goutte. Se réalise à l'aide d'un égouttoir, d'une table d'égouttage, de claies, de tamis ou de maies.	https://www.oenologie.fr/oeno/vinification/vinif_blanc.shtml; https://www.auduteau.net/oenologie/v24.shtml; https://www.abcduvin.com/index.php/term/,6c53aa9f5fa7ae706e53b1adb1b1.xhtml	La définition est le résultat d'une adaptation au contexte spécialisé.	NA	Substantif	Masculin	Singulier	/egutaʒ/	Dér. de goutte, préf. é-, dés. -er,  du lat. gutta « goutte d'un liquide »	NA	NA	NA	NA	Égouttoir; égoutter; vin de goutte	Le moût issu de l'égouttage	NA	NA	NA	NA	L’extraction du jus se fait avec le maximum de soin en faisant appel au foulage, à l’égouttage et au pressurage. Pendant toutes ces opérations, il faut éviter tout contact excessif avec l’oxygène car le moût blanc est très sensible à l’oxydation.	https://www.oenologie.fr/oeno/vinification/vinif_blanc.shtml	Spécialisé	Égouttage	Égouttage	œnologie	vinification	vinification
décuvage	fr	Action de décuver, de sortir (le raisin, le vin) de la cuve. Le décuvage est une étape décisive de la vinification du vin rouge. Il clôt la cuvaison et la macération, où s’élabore la future structure vineuse. Lors de la cuvaison, le jus fermente et macère dans la cuve, en compagnie des parties solides du raisin dont il se libère (pellicules, pulpe, pépins…). Ce processus favorise la diffusion des tanins et des matières colorantes dans le moût. La durée de cuvaison varie en moyenne de 5 à 25 jours.	https://www.larvf.com/,vins-decuvage-maceration-en-cuve-vinification-fermentation-tanins-vin-rouge,13200,4245502.asp	La définition est le résultat d'une adaptation au contexte spécialisé.	NA	Substantif	Masculin	Singulier	/dekyvaʒ/	Dér. de cuver, préf. de-, verbe dér. de cuve, du lat. class. cupa « grand vase en bois, tonneau »	NA	NA	NA	NA	Décuver	Décuvage de vin de presse; les cuves à décuvage; décuvage instantané	NA	NA	NA	NA	Une fois l’écoulage, réalisé, il faut procéder au décuvage : un membre de l’équipe se doit de rentrer dans la cuve pour en sortir toutes les peaux et pépins qui seront pressés. Cette étape est périlleuse car il faut attendre suffisamment longtemps  pour que la cuve ne soit plus saturé en C02 qui est mortel pour l’homme. De plus, une fois débarrassé du C02 les vapeurs d’alcool sont toujours là, ces dernières sont relativement brûlantes, et cette opération assez éprouvante.	http://lesgrappes.leparisien.fr/tout-savoir-sur-les-vinifications/	Spécialisé	Décuvage	Décuvage	œnologie	vinification	vinification
Vin blanc Mousseux	fr	C’est un vin élaboré à partir de raisins blancs ou noirs et traité de telle sorte que le jus reste incolore ou légèrement jaune tout au long du processus de vinification.  Le vin effervescent (ou mousseux) équivaut à un vin doté d’une surpression du gaz carbonique générée lors de la fermentation. Il est maintenu dissous dans le vin grâce à la fermeture hermétique de la bouteille. Il ne se dégagera qu’à son débouchage. Cette bouteille doit être en verre et fermée par un bouchon de forme champignon maintenu par une attache (muselet). Il est élaboré en récipient fermé à partir d’un moût de raisin ou d’un vin dont le titre alcoométrique volumique total doit être au moins de 8,5 % vol. La seconde fermentation est habituellement obtenue en ajoutant à un vin tranquille une petite quantité de liqueur de tirage composée de moût de raisin, de sucre et de vin. La liqueur de tirage ne peut pas augmenter le titre alcoométrique volumique total de la cuvée de plus de 1,5 % vol.	https://dico-du-vin.com/effervescent-vins-effervescents-mousseux-petillant-fines-bulles-perlant/; https://dico-du-vin.com/effervescent-vins-effervescents-mousseux-petillant-fines-bulles-perlant/#:~:text=La%20d%C3%A9finition,fermeture%20herm%C3%A9tique%20de%20la%20bouteille.	La définition est le résultat d'une adaptation au contexte spécialisé.	NA	Syntagme nominal	Masculin	Singulier	/vɛ̃//blɑ̃//musø/	Dér. du lat. vinum « vin »; du germanique blank; et dér. de mousse, francique mosa, qui vient peut﻿-être du latin mulsa, de mel	NA	NA	NA	NA	NA	NA	Vin blanc effervescent	NA	Vin mousseux; vin effervescent	Vin mousseux brut; vin mousseux extra-brut; vin mousseux sec; vin mousseux doux	Le Pays d'Oc blanc mousseux est un vin blanc mousseux produit dans le vignoble du Languedoc-roussillon, vignoble au sud-ouest de la France et plus précisément dans les régions viticoles du Languedoc et du Roussillon. 	http://www.vin-vigne.com/vin/vin-pays-d-oc-blanc-mousseux.html	Spécialisé et non spécialisé	Vin blanc Mousseux	Vin blanc Mousseux	œnologie	vins  spéciaux	vin mousseux
vinificateur	fr	Celui qui procède à la vinification. Le vinificateur a pour mission de récupérer le raisin que lui fournit le viticulteur et d’en faire du vin. Celui-ci qui peut notamment être une coopérative ou un industriel qui va donc généralement acheter ce raisin pour le transformer en vin, l’élever et le mettre en bouteille.	http://stella.atilf.fr/Dendien/scripts/tlfiv5/advanced.exe?8;s=969283815; https://avis-vin.lefigaro.fr/wine-box-par-my-vitibox/o118947-viticulteur-vinificateur-vigneron-qui-fait-quoi	La définition est le résultat d'une adaptation au contexte spécialisé.	Le terme est polysémique: il a deux sens différents. En effet, le terme est aussi utilisé pour désigner l'appareil employé pour la vinification afin d'éviter le contact de l'air avec le vin et d'évacuer le gaz carbonique. Le sens qui indique la personne qui procède à la vinification est plus fréquent dans le contexte spécialisé.	Substantif	Masculin	Singulier	/vinifikatœʀ/	Dér. De vinification, formé d'un élém. vini-, tiré du lat. vinum, vini	NA	NA	NA	NA	Vinifier; vinification; vinifié	NA	NA	NA	NA	NA	La gamme d’analyseurs et de services Wine Quality Solutions permet au vinificateur de réaliser des analyses en temps réel durant la vinification et ainsi de maîtriser certaines étapes cruciales impactant la durée de vie des vins, comme le conditionnement par exemple. En combinant ces solutions techniques avec les solutions de bouchage Vinventions, le vinificateur peut également optimiser la conservation du produit obtenu par le choix d’obturateurs adaptés.	https://www.vitisphere.com/index.php?mode=commpresse&id=1111&titre=impression&print=1	Spécialisé	Vinificateur	Vinificateur	œnologie	vinification	vinification
acétaldéhyde	fr	liquide incolore à odeur piquante et fruitée, mobile et volatil, résultant de l'oxydation ménagée de l'alcool éthylique, et préparé industriellement par hydratation de l'acétylène	https://www.cnrtl.fr/definition/ac%C3%A9tald%C3%A9hyde	NA	NA	substantif	féminin	singulier	/asetaldeid/	Composé de l'élément préf. acet(o)-* et de aldéhyde	aldéhyde acétique	NA	NA	NA	aldéhyde	exposer à l'acétaldéhyde; transformer en acétaldéhyde; transformation de l'acétaldéhyde	éthanal	NA	aldéhyde	NA	Une fois dans l’organisme, l’éthanol contenu dans les boissons alcoolisées est transformé en acétaldéhyde	https://sante.lefigaro.fr/article/pourquoi-dit-on-que-l-alcool-est-cancerigene-/	spécialisé	acétaldéhyde	CH3CHO	oenologie	vinification	fermentation
alcool	fr	corps organique possédant un groupement hydrogène﻿-oxygène et pouvant être considéré comme un dérivé d'hydrocarbure	https://dictionnaire.lerobert.com/definition/alcool	NA	NA	substantif	masculin	singulier	/alkɔl/	du latin scientifique alko(ho)l « substance produite par distillation », à partir de l’arabe al-kuhl « antimoine pulvérisé »	NA	NA	NA	NA	alcoolé; alcoolique; alcoolisme; alcoolémie	aclool fort; bon alcool; alcool aidant; boire de l'alcool; sentir de l'alcool; sombrer dans l'alcool;	éthanol; esprit-de-vin	NA	NA	 amer, bière, cidre, eau-de-vie, kwas, liqueur, poiré, saké, spiritueux, vin; 	Une fois que les levures ont transformé tout le sucre en alcool, la fermentation alcoolique s'interrompt	https://apprendre.vitiplace.com/vin/fermentation.php	spécialisé	alcool	alcool	oenologie	vinification	fermentation
amine biogène	fr	composé organique dérivé de l'ammoniac, résultat de la décarboxylation de certains acides aminés par les bactéries lactiques	https://www.icv.fr/laboratoires-oenologiques/analyses-amines-biogenes-vins; https://dictionnaire.lerobert.com/definition/amine	NA	NA	syntagme nominal	féminin	singulier	/amin/ /bjɔʒɛn/	1859 (in Annales de chimie et de physique); de am(moniac) et -ine	NA	NA	NA	NA	aminé; aminoacide; ammoniac	fermation des amines biogènes; présence d'amines biogènes; quantité d'amines; transformer les amines biogènes	amine	NA	amine	histamine; tyramine; putrescine; cadavérine; phényléthylamine	On a longtemps incriminé l'histamine, une amine biogène produite lors de la fermentation malolactique.	https://vinquebec.com/allergie-vin	spécialisé	amine biogène	amine biogène	oenologie	vinification	fermentation
bâtonnage	fr	opération consistant à remuer (à l’origine avec un bâton) les lies fines du vin qui se déposent au fond des fûts lors des vinifications ou élevages, pour favoriser l’autolyse des levures et donner au vin plus de corps	NA	NA	NA	substantif	masculin	singulier	/bɑtɔnaʒ/	de bâton, Du bas latin bastum	NA	NA	NA	NA	bâtonner; bâtonnier; bâtonnière; bâtonniste; bâton	pratiquer le bâtonnage; bâatonnage des vins; technique du bâtonnage	baguettage	NA	pratique de cave	NA	Elle est élevée pendant 8 mois sur lies avec un bâtonnage tous les jours pendant la fermentation, puis une fois par semaine jusqu’en décembre avant la mise en bouteille au printemps	https://actu.fr/occitanie/montpellier_34172/vins-selection-cairel-domaine-de-la-rectorie-argile-blanc-2016-fleuron-du-roussillon_36904234.html	spécialisé	bâtonnage	bâtonnage	oenologie	vinification	fermentation
production de ferments	fr	technologie industrielle réalisée en cultures pures,discontinues ou continues, avec ou sans recyclage des cellules	http://www.univ-bejaia.dz/jspui/bitstream/123456789/4811/1/Utilisation%20des%20bact%C3%A9ries%20lactiques%20dans%20la%20fabrication%20du%20yaourt.pdf	NA	NA	syntagme nominal	féminin	singulier	/pʀɔdyksjɔ̃/ /də/ /fɛʀmɑ̃/	production: 1283; du latin productio « allongement, prolongation »; ferment: 14e s.; du latin fermentum « levain »	NA	NA	NA	NA	ferment	technologie de production de ferments; production de ferments lactique; phénomène de la poduction de ferments	NA	NA	fermentation	NA	Impliqué dans la production de ferments malolactiques œnologiques depuis le milieu des années 1980, Lallemand a concentré ses recherches sur la co-inoculation afin de comprendre son rôle bénéfique sur la qualité des vins	https://www.lallemandwine.com/wp-content/uploads/2014/10/CO-INOCULATION.pdf	spécialisé	production de ferments	production de ferments	oenologie	vinification	fermentation
composés phénoliques 	fr	molécules supports des principales propriétés organoleptiques des vins qui proviennent des parties solides du raisin, pellicule et pépins et qui sont extraits au cours de la fermentation et de la macération	https://dico-du-vin.com/phenols-composes-phenoliques-ou-polyphenols-vin/	NA	NA	syntagme nominal	masculin	pluriel	/kɔ̃poze/ /fenɔlik/	composé: du latin componere, de ponere; phénoliques: de phén[o]﻿, du grec phainein « éclairer »	NA	NA	NA	NA	NA	composés phénoliques antioxydants; composés phénolique du vin; composés phénolique majeur; composés phenoliques des rasins; structure des composés pénolique; utiliser les composés phénolique	poyphénols	NA	composé organique	NA	Cette fois, les brunissements n’étaient pas liés à des teneurs particulièrement élevées en composés phénoliques	https://www.vitisphere.com/actualite-92363-Records-dacide-caftarique-dans-les-mouts.htm	spécialisé	composés phénolique	composés phénolique	oenologie	vinification	fermentation
macération préfermentaire	fr	macération sans alcool qui consiste à retarder le départ en fermentation, en maintenant la vendange, foulée et éraflée.	https://dico-du-vin.com/maceration-pre-fermentaire-a-froid-mpf/	lorsqu'on cherche "macération préfermentaire" sur le web, on trouve le plus souvent des documents qui font reférence à la macération préfermentaire à froid. Toutefois, il existe une recente tecnique de macération préfermentaire à chaud, mais de loin moins utilisée.	NA	syntagme nominal	féminin	singulier	/maseʀasjɔ̃/ /pʀɛfɛʀmɑ̃tɛʀ/	macération: Du latin maceratio (« macération, trempage »), de macero (« macérer, tremper »); préfermentaire:du latin prae « devant», de fermenter, du latin ecclésiastique fermentatio « altération, mélange»	macéeration pré-fermentaire	MPF	NA	NA	NA	la macération préfermentaire oblige à; après une macération préfermentaire; mise en ouvre d'une macération préfermentaire	NA	NA	macération	macération préfermentaire à chaud; macération préfermentaire à froid	La Macération Préfermentaire à Froid (MPF) des raisins rouges s’est plus ou moins pratiquée naturellement de tout temps en Bourgogne	http://www.delteil-consultant.com/pdf/revues/Rev_oeno_112_MPF_juillet_2004.pdf	spécialisé	macération préfermentaire	macération préfermentaire	oenologie	vinification	fermentation
décomposition	fr	processus subi par les levures mortes lors de la vinification puis de l'élevage	https://www.abcduvin.com/index.php/term/,6c53aa9f5fa7ae706e53adabadad.xhtml	NA	NA	substantif	féminin	singulier	/dekɔ̃pozisjɔ̃/	1694; de décomposer et -ition; d'après composition	NA	NA	NA	NA	décomposer; composer; composition	décomposition avancée; décomposition chimique; accélérer la décomposition; retarder la décomposition; assister à la décomposition; proceder d'une décomposition	autolyse	NA	NA	NA	C'est la décomposition des levures mortes, qui libère des substances, notament des petits peptides, qui donnent du gras et de la rondeur aux vins de Champagne	https://books.google.it/books?id=TmTx_Zz3GxoC&pg=PA162&dq=d%C3%A9composition+des+levures+vin&hl=it&sa=X&ved=2ahUKEwjxkavorP3sAhXpvKQKHfDfDXIQ6AEwAHoECAIQAg#v=onepage&q=d%C3%A9composition%20des%20levures%20vin&f=false	spécialisé	décomposition	décomposition	oenologie	vinification	fermentation
 dioxyde de soufre	fr	gaz incolore, d'odeur suffocante et de saveur acide; il est l’additif chimique le plus utilisé dans l’élaboration du vin car il est un antioxydant qui ralentit la vitesse des réactions d’oxydation et c’est aussi un antimicrobien	https://www.larousse.fr/encyclopedie/divers/anhydride_sulfureux/94550; https://www.idealwine.net/les-mots-du-vin-soufre-ange-demon/#:~:text=Le%20dioxyde%20de%20soufre%20(SO2,gustatives%2C%20mais%20aussi%20de%20sant%C3%A9.&text=Mais%20on%20utilise%20le%20SO2,de%20la%20mise%20en%20bouteille.	NA	NA	substantif	masculin	singulier	/diɔksid/ /də/ /sufʀ/	dioxyde: préfixe di- et du mot oxyde; sufre: Vers 1120; du latin sulphur ou sulfur	bioxyde de soufre	NA	NA	NA	soufre	contenir du dioxyde de soufre; liberer du dioxyde de soufre; quantité de dioxyde de soufre; émission de dioxyde de soufre	anhydride sulfureux; sulfite	NA	soufre	NA	Le dioxyde de soufre, souvent et depuis très longtemps ajouté au cours de la vinification pour protéger le vin de l'oxydation, peut également favoriser la réduction	https://www.lepoint.fr/vin/les-oenologues-font-le-point-la-reduction-c-est-quoi-09-11-2020-2400141_581.php#	spécialisé	dioxyde de soufre	dioxyde de soufre	oenologie	vinification	fermentation
phénéthylamine	fr	alcaloïde mono aminé qui joue le rôle de neurotransmetteur dans le cerveau; elle est également présente dans certains aliments ayant subi une fermentation (vin rouge, fromage).	https://www.linternaute.fr/dictionnaire/fr/definition/phenylethylamine/#:~:text=La%20ph%C3%A9nyl%C3%A9thylamine%20est%20un%20alcalo%C3%AFde,(vin%20rouge%2C%20fromage).	NA	NA	substantif	féminin	singulier	/fenetilamin/	NA	NA	PEA	NA	NA	phénylalanine; adrénaline; la noradrénaline; dopamine	type phénéthylamine; phénéthylamine stimule	2-Phénéthylamine	NA	amine	NA	Les amines biogéniques, telles que l’éthanolamine, le phényléthylamine, la méthylamine, l'agmatine, l'histamine, la putrescine, la cadavérine et la tyramine, sont des bases organiques à faible poids moléculaire qui peuvent se trouver dans le vin, dans lequel elles sont principalement produites par décarboxylation microbienne des acides aminés.	http://www.oiv.int/public/medias/1400/oiv-oeno-370-2012-fr.pdf	spécialisé	phénéthylamine	β-phényléthylamine; C8H11N	oenologie	vinification	fermentation
fermentation alcoolique	fr	transformation du glucose contenu dans le fruit qui se dégrade en éthanol et dioxyde de carbone sous l’action de levures recouvrant la peau du raisin mûr	https://dico-du-vin.com/fermentation/	NA	NA	syntagme nominal	féminin	singulier	/fɛʀmɑ̃tasjɔ̃/ /alkɔlik/	fermentation: du latin ecclésiastique fermentatio « altération, mélange »; alcoolique: de alcool, du latin scientifique alko(ho)l « substance produite par distillation », à partir de l’arabe al-kuhl « antimoine pulvérisé »	NA	NA	NA	NA	ferment alcoolique	provoquer la fermentation alcoolique; arrêter la fermentation alcoolique; subir la fermentation alcoolique; processus de fermentation alcoolique; la cuve de fermentation alcoolique; la fermentation alcoolique du vin; produire la fermentation alcoolique	première fermentation	NA	fermentation	NA	À l’issue de la fermentation alcoolique et de la macération, le vin est écoulé et les cabernet sauvignons sont placés dans des barriques neuves.	https://www.sudouest.fr/2020/10/14/clos-manou-les-secrets-d-un-vin-aromatique-7958866-3087.php	spécialisé	fermentation alcoolique	fermentation alcoolique	oenologie	vinification	fermentation
fermentation en blanc	fr	méthode de vinification dans laquelle  il n’y a aucun contact recherché entre la partie solide de la vendange et le jus.	https://www.oenologie.fr/oeno/vinification/vinif_blanc.shtml	la fermentation des vins blancs est plus lente que celle des vins rouges et doit se produire à une température d’environ 20°C. On pratique le bentonitage pour éliminer les protéines du moût. La bentonite permet une meilleure limpidité et une plus grande stabilité du futur vin	NA	syntagme nominal	féminin	singulier	/fɛʀmɑ̃tasjɔ̃/ /ɑ̃/ /blɑ̃/	fermentation: du latin ecclésiastique fermentatio « altération, mélange »; du germanique blank	NA	NA	NA	NA	fermenté en blanc	le cas de fermentation en blanc; gestion d'une fermentation en blanc; condition de fermentation en blanc	NA	vinification en blanc	fermentation	NA	Pour le départ en fermentation en blanc, les levures indigènes c’est compliqués, nous  avons fait un protocole tout simple. 	https://www.vinpur.com/view.php?node=233	spécialisé	fermentation en blanc	fermentation en blanc	oenologie	vinification	fermentation
fermentaion en rouge	fr	méthode de vinification dans laquelle on introduit le moût, constitué d'un mélange homogène de jus, de pulpe, de pellicule et de pépin, dans la cuve.	https://testafrica.pagesperso-orange.fr/aristide2/promenade/method/meth_vin.htm	une fermentation en rouge est généralement conduite à des températures bien plus élevées que pour un vin blanc : entre 25 et 30°C.	NA	syntagme nominal	féminin	singulier	/fɛʀmɑ̃tasjɔ̃/ /ɑ̃/ /ʀuʒ/	fermentation: du latin ecclésiastique fermentatio « altération, mélange »; rouge: (vient du latin rubeus « roux », de ruber « rouge » → rouille, roux, rubéole, rubicond)	NA	NA	NA	NA	fermenté en rouge	cuve de fermentation en rouge; fermentation en rouge traditionnelle; faire une fermentation en rouge; subir une fermentation en rouge	NA	vinification en rouge	fermentation	NA	Les prétraitements par CEP améliorent la couleur, la concentration en anthocyanes et l’indice polyphénolique total durant la phase de fermentation en rouge.	file:///C:/Users/anton/Downloads/These_UTC_Nada_El_Darra.pdf	spécialisé	fermentation en rouge	fermentation en rouge	oenologie	vinification	fermentation
fermentation intracellulaire	fr	elle se produit à l’intérieur du grain de raisin sous l’action d’enzyme, elle se fait en l’absence de micro-organismes et a pour conséquence de transformer une petite quantité de sucre en alcool (entre 2 et 3 %).	https://dico-du-vin.com/intracellulaire-fermentation/	NA	NA	syntagme nominale	féminin	singulier	/fɛʀmɑ̃tasjɔ̃/ /ɛ̃tʀaselylɛʀ/	fermentation: du latin ecclésiastique fermentatio « altération, mélange »; intracellulaire: de intra- et cellulaire, cellulaire, cellule, du latin diminutif de cella « chambre »	NA	NA	NA	NA	fermentation cellulaire	produir une fermentation intracellulaire; commencer une fermentation intracellulaire; fermentation intracellulaire des raisins; la fermentation intracellulaire permet; subir une fermentation intracellulaire	fermentation carbonique	fermentation cellulaire	fermentation	NA	"Les raisins du haut, dont les grains sont intacts, changent de métabolisme et commencent une fermentation intracellulaire", explique l'œnologue Bertrand Chatelet. 	https://www.science-et-vie.com/questions-reponses/qu-est-ce-que-les-vins-a-fermentation-semi-carbonique-48113	spécialisé	fermentation intracellulaire	fermentation intracellulaire	oenologie	vinification	fermentation
fermentation lente	fr	seconde fermentation que le liquid subit, durant quelques jours encore dans le tonneaux, après le soutirage; la partie liquereuse achève de se transformer	NA	NA	NA	syntagme nominal	féminin	singulier	/fɛʀmɑ̃tasjɔ̃/ /lɑ̃t/	fermentation: du latin ecclésiastique fermentatio « altération, mélange »; lent: vient du latin lentus, d'abord « souple » et « mou », puis « indolent »	NA	NA	NA	NA	NA	méthode de fermentation lente; fermentation lente des levures; phase de fermentation lente; achever la fermentation lente; cycle de fermentation lente	NA	fermentation basse; fermentation douce	fermentation	NA	Dans le cas de fermentation lente, on observe clairement que la vitesse de fermentation tends vers zero alors qu'il rest environ 20 g de soucre par litre.	NA	spécialisé	fermentation lente	fermentation lente	oenologie	vinification	fermentation
 fermentation malolactique 	fr	deuxième fermentation(après la fermentation alcoolique) pratiquée pour réduire l'acidité du vin avec la transformation d’une partie de l'acide malique(pomme verte) et de l’acide lactique(lait).	https://vinquebec.com/vocabulaire	la fermentation malo-lactique diminue l’acidité et assouplit le vin. Elle est bénéfique aux vins rouges et à certains blancs qui sont ensuite élevés en fût de chêne. Le vigneron qui souhaite produire des vins plus tranchants et aromatiques l'évitera pour ses vins blancs secs	NA	syntagme nominal	féminin	singulier	/fɛʀmɑ̃tasjɔ̃/ /malolaktik/	fermentation: du latin ecclésiastique fermentatio « altération, mélange »; malo: Dér. sav. de malum, -i «pomme» lactique: Composé des éléments lact-* et -ique	fermentation malo-lactique	FML	NA	NA	acide malique; acide lactique	déroulement de la fermentation malolactique; achever la fermentation malolactique; la fermentation malolactique intervient; réaliser la fermentation malolactique	deuxième fermentation	NA	fermentation	NA	En bonus, la fermentation malolactique donne parfois au vin de nouveaux arômes qui peuvent être très agréables en bouche.	https://avis-vin.lefigaro.fr/wine-box-par-my-vitibox/o119143-percez-les-mysteres-de-la-fermentation-malolactique-pour-mieux-deguster	spécialisé	fermentation malolactique	fermentation malolactique	oenologie	vinification	fermentation
gaz inerte	fr	gaz injecté pour remplacer l’air au contact des raisins, du moût ou du vin, dans le but d’éviter toute oxydation	NA	en general, le gaz inerte est un gaz qui, soumis à une pression ou une température normale, présent une très faible réactivité chimique. Le gaz le plus utilisé en oenologie est l'azote	NA	syntagme nominal	masculin	singulier	/gɑz//inɛʀt/	gaz: (créé par Van Helmont : gas, d'après le latin chaos); inerte: (latin iners, inertis, de in﻿- et ars, artis, art)	NA	NA	NA	NA	inertage	sous gaz inerte; dissusion d'un gaz inerte; injecter le gaz inerte; production d'un gaz inerte	gaz noble; gaz rare	NA	gaz	hélium, néon, argon, xénon, krypton, radon	La diffusion d’un gaz inerte, l’argon, assure une légère pressurisation qui autorise à ne prélever que la quantité voulue.	https://avis-vin.lefigaro.fr/magazine-vin/o144790-deguster-un-verre-sans-retirer-le-bouchon	spécialisé	gaz inerte	gaz inerte	oenologie	vinification	fermentation
sulfite	fr	dérivé du soufre utilisé traditionnellement dans la viticulture pour assurer la bonne conservation du vin	http://www.cavesa.ch/definition/sulfites,5140.html	sel ou ester de l'acide sulfureux	le terme est toujours utilsé au pluriel dans le  domaine de l'oenologie.	substantif	masculin	singulier	/sylfit/	NA	NA	NA	NA	NA	sulfitage;  sulfhydrique; sulfinisation; sulfurage	contenir des sulfites; presence des soulfites; ajouter des sulfite	oxyde sulfureux	NA	soufre	anhydride sulfureux;  sulfite de sodium; sulfite de potassium; sulfite de calcium	Il n’est pas si facile de produire des vins sans sulfites, mais d’une manière générale, on trouve de plus en plus de vins qui en utilisent très peu	 http://leretouralaterre.fr/accueil/produits/notre-offre/epicerie/vin-sans-sulfite/	spécialisé	sulfite	SO2	oenologie	vinification	fermentation
histamine	fr	amine biogène, produite par fermentation à partir de l'acide aminé histidine	https://cordis.europa.eu/article/id/84200-finding-the-reasons-for-histamine-in-wine/fr	la putrescine, l’histamine et la tyramine sont les trois amines biogènes des vins en teneurs les plus élevées	NA	substantif	féminin	singulier	/istamin/	de hist[o]﻿- et amine	NA	NA	NA	NA	histaminique	liberation d'histamine; riche en histamine; appost d'histamine; quantité d'histamine	NA	NA	amine	NA	Les chercheurs ont cru que l’histamine, une amine biogène contenue dans le vin, était responsable des intolérances	https://plus.lapresse.ca/screens/f2d37010-3e53-4fa2-bab8-4fd77e37d8d1__7C___0.html	spécialisé	histamine	C5H9N3	oenologie	vinification	fermentation
histidine	fr	l'un des vingt acides aminés constituants des protéines, qui fournit par dégradation enzymatique l'histamine.	NA	NA	NA	substantif	féminin	singulier	/istidin/	mot allemand → hist[o]﻿-, ﻿-ide et ﻿-ine	NA	NA	NA	His; H	NA	NA	NA	NA	amine	NA	La décarboxylation de l'histidine et de la tyrosine ont été les premières étudiées chez les bactéries lactiques du vin.	https://books.google.it/books?id=jZr1AQAAQBAJ&pg=PA151&dq=l%27histidine+dans+le+vin&hl=fr&sa=X&ved=2ahUKEwiXvdzeyP_sAhUyIcUKHRWMA_4Q6AEwAHoECAYQAg#v=onepage&q=l'histidine%20dans%20le%20vin&f=false	spécialisé	histidine	C6H9N3O2	oenologie	vinification	fermentation
levure séléctionnée	fr	levures commerciales qui s’ajoutent au moût pour provoquer la fermentation alcoolique.	https://dico-du-vin.com/levures-selectionnees-levures-commerciales/	NA	NA	syntagme nominal	féminin	singulier	/ləvyʀ/ /selɛksjɔne/	levure: de lever [la pâte]; séléctionnée: du latin selectio, de seligere « choisir », de legere → 1 lire; puis repris à l'anglais selection, de même origine	NA	NA	NA	NA	levurage	action de la levure séléctionnée; souche des levures séléctionnées; ajouter des levures séléctionnées; utiliser des levures séléctionnées	NA	NA	levure	NA	Le risque de défaut et d’apparition de mauvais gout (réduit, éthyl-phénols, éthanal) est supérieur avec des levures indigènes qu’avec des levures sélectionnées.	https://vinquebec.com/node/14839	spécialisé	levure spécialisée	levure spécialisée	oenologie	vinification	fermentation
levure indigène	fr	micro-organisme (champignon unicellulaire) qui réalise la fermentation alcoolique et qui est issue d’un milieu naturel.	https://dico-du-vin.com/levures-indigenes/	NA	NA	syntagme nominal	féminin	singulier	/ləvyʀ/ /ɛ̃diʒɛn/	levure: de lever [la pâte]; indigène: latin indigena, de indu﻿-, de in﻿- → 1 in﻿- et genere « engendrer » → géniteur	NA	NA	NA	NA	levurage	production d'une levure indigène; introduire une levure indigène; cellules des levures indigènes; utiliser des levures indigènes; population de levure indigène; vinifié en levure indigène	levure du terroir	NA	levure	NA	Loin de chercher à singer les rouges du bordelais, il s’est engagé sur les chemins de la salinité, de l’expression aromatique franche et précise, en levure indigène, sans ajout de soufre (ou très peu).	https://www.larvf.com/grand-vigneron-de-demain-2-julien-auroux-a-bergerac,4669519.asp	spécialisé	levure indigène	levure indigène	oenologie	vinification	fermentation
homogénéisation	fr	action de rendre homogène un liquide, qui permet à l’ensemble des levures d’être en contact avec le vin et d''augmenter en général la vitesse des fermentations et la vitesse d'extraction des matières colorantes au cours de la fermentation	https://complements.lavoisier.net/9782743021450_le-champagne-de-la-tradition-a-la-science-edition-revue-et-corrigee-collection-cave-et-terroir_Chapitre9.pdf; https://www.matevi-france.com/oenologie/extraction-des-composes-polyphenoliques/cuve-speciale-de-vinification/437-cuves-horizontales-rotatives.html	définition reformulée	le terme "harmonisation" est un synonyme général de "homogénéisation, mais il n'est utilisé dans le domaine oenologique. Pour cette raison, il a été inséré dans la catégorie de quasi-synonyme	substantif	féminin	singulier	/ɔmɔʒeneizasjɔ̃/	de homogénéiser, homogène, du latin, grec homogenês « de même race » → homo﻿- et ﻿-gène	NA	NA	NA	NA	homogène; homogénéiser;  homogénéifier; homogénéité	homogénéisation du vin; homogéneisation de la temperature; homogénéisation d'une cuve;	NA	harmonisation	pratique de cave	NA	Un remontage d’homogénéisation est nécessaire à une bonne efficacité.	https://www.vitisphere.com/actualite-89819-Neuf-nouveautes-pour-les-vendanges-2019.htm	spécialisé	homogénéisation	homogénéisation	oenologie	vinification	fermentation
